height,weight,sats / WU
770000,2822593424,3
771000,3364026657,3
772000,3125489018,3
773000,2880719313,3
774000,3397660988,4
775000,3863075384,4
776000,3977840568,4
777000,3970881270,3
778000,3893962697,4
779000,3953918589,4
780000,3985661827,6
781000,3981819787,6
782000,3981783219,5
783000,3985759975,5
784000,3985745295,5
785000,3985773332,4
786000,3890381017,4
787000,3993727417,10
788000,3973675581,52
789000,3969735377,26
790000,3985622018,16
791000,3989763793,12
792000,3985746332,11
793000,3989687486,11
794000,3977753087,7
795000,3981656215,7
796000,3985746143,5
797000,3985842520,3
798000,3985792600,3
799000,3985778448,4
800000,3981790522,3
801000,3985822187,3
802000,3985774560,3
803000,3989727839,2
804000,3985937959,3
805000,3989764555,3
806000,3981794711,5
807000,3985744641,5
808000,3989801587,7
809000,3989741613,5
810000,3985808021,4
811000,3981346027,3
812000,3988964511,2
813000,3988542023,4
814000,3981787121,3
815000,3993735413,14
816000,3973826474,24
817000,3977749743,36
818000,3973704190,18
819000,3969669295,23
820000,3973787294,26
821000,3961801910,70
822000,3973807003,45
823000,3981716492,43
824000,3991707990,20
825000,3973803400,21
826000,3985830696,16
827000,3975403351,9
828000,3977637286,13
829000,3985695690,8
830000,3989802935,7
831000,3989744115,5
832000,3977786082,8
833000,3989704202,10
834000,3973840687,6
835000,3981829965,6
836000,3989795665,4
837000,3985923237,4
838000,3981841686,12
839000,3978021945,19
840000,3989841864,67
841000,3973868934,8
842000,3977746257,8
843000,3969701821,4
844000,3961804753,3
845000,3961804771,5
846000,3969876031,16
847000,3941915811,11
848000,3981866271,5
849000,3989785091,3
850000,3985745559,2
851000,3993719057,2
852000,3985806601,2
853000,3981663311,1
854000,3993682579,1
855000,3967291510,1
856000,3985801610,1
857000,3981742741,3
858000,3993691405,1
859000,3977710566,1
860000,3977690616,1
861000,3981743745,1
862000,3989788854,1
863000,3973887540,1
864000,3989811286,1
865000,3989796867,6
866000,3973763296,3
867000,3969808399,3
868000,3957937885,2
869000,3989838303,1
870000,3989848459,3
871000,3981867488,2
872000,3989969200,2
873000,3981993913,2
874000,3989906621,2
875000,3977875104,2
876000,3989834807,1
877000,3989867666,1
878000,3965064428,1
879000,3977110937,1
880000,3984127400,1
881000,3866129747,1
882000,3945375116,1
883000,3860714509,1
884000,3893513529,1
885000,3993909494,1
886000,3981843718,1
887000,3981886684,1
888000,3984837003,1
889000,3981922468,1,